,country,date,year,month,infl
587,bulgaria,2008-12-01,2008,12,-0.004
588,bulgaria,2009-01-01,2009,1,0.004
589,bulgaria,2009-02-01,2009,2,0.004
590,bulgaria,2009-03-01,2009,3,-0.003
591,bulgaria,2009-04-01,2009,4,0.005
592,bulgaria,2009-05-01,2009,5,0.0
593,bulgaria,2009-06-01,2009,6,0.001
594,bulgaria,2009-07-01,2009,7,-0.001
595,bulgaria,2009-08-01,2009,8,0.001
596,bulgaria,2009-09-01,2009,9,-0.002
597,bulgaria,2009-10-01,2009,10,0.002
598,bulgaria,2009-11-01,2009,11,0.002
599,bulgaria,2009-12-01,2009,12,0.003
600,bulgaria,2010-01-01,2010,1,0.006
601,bulgaria,2010-02-01,2010,2,0.003
602,bulgaria,2010-03-01,2010,3,0.004
603,bulgaria,2010-04-01,2010,4,0.012
